EQ_LATITUDE,EQ_LONGITUDE,Label,
60,-168,NBS Surface Trawl Station,
60,-169,NBS Surface Trawl Station,
60,-170,NBS Surface Trawl Station,
60,-171,NBS Surface Trawl Station,
60.5,-171,NBS Surface Trawl Station,
60.5,-170,NBS Surface Trawl Station,
60.5,-169,NBS Surface Trawl Station,
60.5,-168,NBS Surface Trawl Station,
60.5,-167,NBS Surface Trawl Station,
61,-167,NBS Surface Trawl Station,
61,-168,NBS Surface Trawl Station,
61,-169,NBS Surface Trawl Station,
61,-170,NBS Surface Trawl Station,
61,-171,NBS Surface Trawl Station,
61.5,-171,NBS Surface Trawl Station,
61.5,-170,NBS Surface Trawl Station,
61.5,-169,NBS Surface Trawl Station,
61.5,-168,NBS Surface Trawl Station,
61.5,-167,NBS Surface Trawl Station,
62,-167,NBS Surface Trawl Station,
62,-168,NBS Surface Trawl Station,
62,-169,NBS Surface Trawl Station,
62,-170,NBS Surface Trawl Station,
62,-171,NBS Surface Trawl Station,
62.5,-171,NBS Surface Trawl Station,
62.5,-170,NBS Surface Trawl Station,
62.5,-169,NBS Surface Trawl Station,
62.5,-168,NBS Surface Trawl Station,
62.5,-167,NBS Surface Trawl Station,
63,-167,NBS Surface Trawl Station,
63,-166,NBS Surface Trawl Station,
63.5,-166,NBS Surface Trawl Station,
63.5,-167,NBS Surface Trawl Station,
63.5,-168,NBS Surface Trawl Station,
64,-167,NBS Surface Trawl Station,
64,-168,NBS Surface Trawl Station,
64,-169,NBS Surface Trawl Station,
64.5,-168,NBS Surface Trawl Station,
65,-168,NBS Surface Trawl Station,
64.5,-167,NBS Surface Trawl Station,
64,-166,NBS Surface Trawl Station,
64.096,-162.528,NBS Surface Trawl Station,
64.099,-163.539,NBS Surface Trawl Station,
64.104,-164.439,NBS Surface Trawl Station,
64.5,-169,NBS Surface Trawl Station,
61,-172,IERP Station,
61,-173,IERP Station,
61.5,-172,IERP Station,
61.5,-173,IERP Station,
63,-172,IERP Station,"Moved from 61.5,, -174 to match UAF station"
62,-172,IERP Station,
62,-173,IERP Station,
62.194,-174.688,IERP Station,"Moved from 62, -174 to match M8 mooring location"
62.5,-172,IERP Station,
62.6,-174,IERP Station,"Moved from 62.5, -174 to match UAF station location"
62.5,-173,IERP Station,
64.12,-170.17,IERP Station,"Moved from 64, -170 to match UAF station location"
64.15,-171.53,IERP Station,"Moved from 64, -171 to match Mooring Deployment location (SLI-1"
64.67,-169.97,IERP Station,"Moved from 64, -170 to match DBO 2.1 Station location"
64.99,-169.14,IERP Station,"Moved from 65, -169 to match DBO 2.5 station location"
64,-167.92,Moorings,
62.194,-174.688,Moorings,
